solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy,"Solve, activation, h1, h2"
lbfgs, logistic,30,25, off, class2,1,0.777272727,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, off, class3,1,0.536363636,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,25, off, class4,1,0.463636364,"lbfgs,  logistic, 30, 25"
lbfgs, logistic,30,30, on, class1,1,0.884090909,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, on, class2,1,0.777272727,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, on, class3,1,0.572727273,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, on, class4,1,0.381818182,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, off, class1,1,0.861363636,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, off, class2,1,0.743181818,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, off, class3,1,0.525,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,30, off, class4,1,0.393181818,"lbfgs,  logistic, 30, 30"
lbfgs, logistic,30,40, on, class1,1,0.886363636,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, on, class2,1,0.779545455,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, on, class3,1,0.586363636,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, on, class4,1,0.456818182,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, off, class1,1,0.913636364,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, off, class2,1,0.781818182,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, off, class3,1,0.547727273,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,30,40, off, class4,1,0.465909091,"lbfgs,  logistic, 30, 40"
lbfgs, logistic,40,1, on, class1,0.970387244,0.875,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, on, class2,0.996013667,0.790909091,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, on, class3,0.912300683,0.45,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, on, class4,0.656605923,0.25,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, off, class1,0.991457859,0.902272727,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, off, class2,0.986332574,0.788636364,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, off, class3,0.857061503,0.463636364,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,1, off, class4,0.626993166,0.270454545,"lbfgs,  logistic, 40, 1"
lbfgs, logistic,40,15, on, class1,0.993735763,0.884090909,"lbfgs,  logistic, 40, 15"
