E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
0.021359867,0.021345401,0.021361617,0.021360215,0.021357235,0.999990407,0.999998387,0.999989716,0.999996996,0.999989679,1.12E-06,2.81E-07,8.52E-07,6.53E-07,6.87E-07,3.88E-06,7.28E-07,6.46E-06,1.13E-06,4.26E-06,4.25E-06,5.51E-07,2.86E-06,1.01E-06,5.23E-06,0,3,5,11
0.021323009,0.021326157,0.02134102,0.021349813,0.021333329,0.999993524,0.999998902,0.99999517,0.999997088,0.999993956,8.81E-07,1.86E-07,5.37E-07,3.35E-07,4.76E-07,2.47E-06,5.45E-07,2.80E-06,1.13E-06,2.34E-06,2.94E-06,3.32E-07,1.41E-06,1.36E-06,3.14E-06,0,3,5,11
0.021325829,0.021327368,0.021342359,0.021347257,0.021333042,0.999991131,0.999998664,0.999991106,0.999996894,0.999990647,8.57E-07,1.75E-07,6.42E-07,3.21E-07,6.48E-07,5.12E-06,5.18E-07,4.97E-06,1.10E-06,5.57E-06,2.75E-06,6.11E-07,3.19E-06,1.62E-06,3.04E-06,0,3,5,11
0.021339801,0.021333122,0.021352759,0.021345065,0.021344081,0.99999113,0.999998618,0.999989936,0.99999704,0.999993181,1.37E-06,2.36E-07,6.92E-07,5.08E-07,7.06E-07,4.05E-06,5.72E-07,6.45E-06,1.49E-06,3.33E-06,3.08E-06,5.25E-07,2.80E-06,8.47E-07,2.65E-06,0,3,5,11
0.021328042,0.021327622,0.021344684,0.021344939,0.021334926,0.999988825,0.999997968,0.999990165,0.999996904,0.999992551,1.03E-06,2.85E-07,7.78E-07,3.97E-07,3.94E-07,4.01E-06,9.27E-07,5.23E-06,1.14E-06,3.08E-06,5.91E-06,7.75E-07,3.72E-06,1.43E-06,3.90E-06,0,3,5,11
0.021323557,0.021324427,0.021333111,0.021345377,0.021327522,0.999989083,0.999998619,0.999990119,0.999996684,0.999990063,7.27E-07,1.57E-07,6.10E-07,3.94E-07,5.63E-07,4.74E-06,6.35E-07,5.53E-06,1.50E-06,4.77E-06,5.27E-06,5.56E-07,3.63E-06,1.31E-06,4.50E-06,0,3,5,11
0.021336532,0.021331558,0.021348983,0.021348916,0.021341258,0.999982559,0.999997303,0.999983501,0.999994229,0.999979275,1.11E-06,2.28E-07,8.76E-07,7.28E-07,1.02E-06,7.93E-06,1.09E-06,8.68E-06,2.51E-06,7.95E-06,8.12E-06,1.33E-06,6.78E-06,2.33E-06,1.16E-05,0,3,5,11
0.021323276,0.021327158,0.021338986,0.021348539,0.021328808,0.999990974,0.999998329,0.999985939,0.999996719,0.999989436,8.24E-07,2.01E-07,9.64E-07,4.44E-07,6.19E-07,4.32E-06,7.26E-07,9.06E-06,1.25E-06,5.03E-06,3.68E-06,7.12E-07,3.94E-06,1.48E-06,4.81E-06,0,3,5,11
0.021328796,0.021326395,0.021339584,0.021347323,0.021332744,0.999989845,0.999997781,0.999985467,0.999997204,0.9999904,9.24E-07,2.53E-07,8.24E-07,3.98E-07,7.15E-07,3.81E-06,1.14E-06,8.00E-06,1.13E-06,3.86E-06,5.20E-06,7.82E-07,5.57E-06,1.14E-06,4.92E-06,0,3,5,11
0.021339436,0.02134107,0.021335108,0.021346234,0.0213696,0.999993221,0.999997335,0.999987823,0.999996352,0.999993899,1.02E-06,3.70E-07,1.42E-06,5.51E-07,7.98E-07,3.40E-06,1.44E-06,9.46E-06,1.83E-06,3.12E-06,2.22E-06,7.76E-07,1.08E-06,1.14E-06,2.05E-06,0,3,5,11
0.02132533,0.021325429,0.02133094,0.021340679,0.021325184,0.999991766,0.999995723,0.999967913,0.999995529,0.999992313,7.89E-07,4.10E-07,4.09E-06,5.67E-07,7.38E-07,4.28E-06,1.83E-06,2.60E-05,2.51E-06,4.38E-06,3.04E-06,1.97E-06,1.74E-06,1.28E-06,2.47E-06,0,3,5,11
0.021358514,0.02135161,0.021356843,0.021365441,0.021395013,0.999994706,0.99999826,0.999989427,0.999998135,0.999995349,4.80E-07,2.02E-07,1.48E-06,2.42E-07,4.51E-07,2.84E-06,8.78E-07,7.71E-06,7.36E-07,2.76E-06,1.89E-06,6.21E-07,1.26E-06,8.24E-07,1.37E-06,0,3,5,11
0.021339387,0.02133679,0.021344161,0.021349663,0.021348318,0.999995877,0.999998251,0.9999887,0.999997992,0.999995461,5.33E-07,1.91E-07,1.15E-06,2.74E-07,5.18E-07,2.46E-06,8.97E-07,8.87E-06,1.02E-06,2.54E-06,1.06E-06,6.30E-07,1.17E-06,6.59E-07,1.42E-06,0,3,5,11
