solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy
lbfgs, logistic,15, 30, off, class4, 0.9123006833712984, 0.46136363636363636
lbfgs, logistic,15, 40, on, class1, 1.0, 0.8727272727272727
lbfgs, logistic,15, 40, on, class2, 0.9994305239179955, 0.7477272727272727
lbfgs, logistic,15, 40, on, class3, 1.0, 0.4954545454545455
lbfgs, logistic,15, 40, on, class4, 0.9925968109339408, 0.4727272727272727
lbfgs, logistic,15, 40, off, class1, 1.0, 0.875
lbfgs, logistic,15, 40, off, class2, 1.0, 0.7954545454545454
lbfgs, logistic,15, 40, off, class3, 0.9458997722095672, 0.575
lbfgs, logistic,15, 40, off, class4, 0.9994305239179955, 0.40454545454545454
lbfgs, logistic,25, 1, on, class1, 0.9162870159453302, 0.8795454545454545
lbfgs, logistic,25, 1, on, class2, 0.9555808656036446, 0.7909090909090909
lbfgs, logistic,25, 1, on, class3, 0.7511389521640092, 0.475
lbfgs, logistic,25, 1, on, class4, 0.5159453302961275, 0.25681818181818183
lbfgs, logistic,25, 1, off, class1, 0.9874715261958997, 0.865909090909091
lbfgs, logistic,25, 1, off, class2, 0.9971526195899773, 0.8
lbfgs, logistic,25, 1, off, class3, 0.75, 0.48863636363636365
lbfgs, logistic,25, 1, off, class4, 0.505125284738041, 0.2727272727272727
lbfgs, logistic,25, 15, on, class1, 1.0, 0.875
lbfgs, logistic,25, 15, on, class2, 0.9994305239179955, 0.8045454545454546
lbfgs, logistic,25, 15, on, class3, 0.9527334851936219, 0.4772727272727273
lbfgs, logistic,25, 15, on, class4, 0.8809794988610479, 0.42045454545454547
lbfgs, logistic,25, 15, off, class1, 1.0, 0.8727272727272727
lbfgs, logistic,25, 15, off, class2, 1.0, 0.7659090909090909
lbfgs, logistic,25, 15, off, class3, 0.9493166287015945, 0.5431818181818182
lbfgs, logistic,25, 15, off, class4, 0.9117312072892938, 0.4409090909090909
lbfgs, logistic,25, 25, on, class1, 1.0, 0.8568181818181818
lbfgs, logistic,25, 25, on, class2, 1.0, 0.7340909090909091
lbfgs, logistic,25, 25, on, class3, 0.9977220956719818, 0.5454545454545454
lbfgs, logistic,25, 25, on, class4, 0.9982915717539863, 0.40454545454545454
lbfgs, logistic,25, 25, off, class1, 1.0, 0.9
lbfgs, logistic,25, 25, off, class2, 1.0, 0.7659090909090909
lbfgs, logistic,25, 25, off, class3, 1.0, 0.5477272727272727
lbfgs, logistic,25, 25, off, class4, 1.0, 0.42954545454545456
lbfgs, logistic,25, 30, on, class1, 1.0, 0.9068181818181819
lbfgs, logistic,25, 30, on, class2, 0.9982915717539863, 0.7477272727272727
lbfgs, logistic,25, 30, on, class3, 0.9937357630979499, 0.5363636363636364
lbfgs, logistic,25, 30, on, class4, 1.0, 0.47045454545454546
lbfgs, logistic,25, 30, off, class1, 1.0, 0.85
lbfgs, logistic,25, 30, off, class2, 1.0, 0.7636363636363637
lbfgs, logistic,25, 30, off, class3, 1.0, 0.475
lbfgs, logistic,25, 30, off, class4, 1.0, 0.42045454545454547
lbfgs, logistic,25, 40, on, class1, 1.0, 0.8863636363636364
lbfgs, logistic,25, 40, on, class2, 1.0, 0.8068181818181818
lbfgs, logistic,25, 40, on, class3, 1.0, 0.5454545454545454
